bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
68,3a22156fa3dd9d436b006c8621d56dd19fe2d890,735b1b59862dc1b5f7e60549aa7c33dbcc4095b2,2017-04-23 09:38:03 +1200,2017-04-24 01:56:08 +0800,OPENNLP-1039,https://issues.apache.org/jira/browse/OPENNLP-1039
69,6c2dbf2885fb4602b8e42bd208ebef66df23329b,b4eb29107afb3cad68d3acadd6dccaa63ceef9a9,2017-05-03 10:15:27 +0200,2017-05-04 07:29:40 +0200,OPENNLP-1042,https://issues.apache.org/jira/browse/OPENNLP-1042
70,60595251eec5979e14540c6d00043e24905a7404,bbbb4313846efaba9546e86052940f0a79b8948f,2017-04-25 12:05:49 -0400,2017-04-26 13:35:54 +0200,OPENNLP-1046,https://issues.apache.org/jira/browse/OPENNLP-1046
71,60792b8f369b73316fce6310330c28a7a0d45246,cb6ee2cbdeadad5d277a6e7293d88bb915090c4f,2017-05-11 08:24:12 +0200,2017-05-11 15:06:49 -0400,OPENNLP-1056,https://issues.apache.org/jira/browse/OPENNLP-1056
72,c434b3af4008281a96154403094b20cefa7dd15b,a00624cf27791193be74a610723a9a0b0980d23f,2017-05-16 13:07:57 -0300,2017-05-16 13:32:37 +0200,OPENNLP-1061,https://issues.apache.org/jira/browse/OPENNLP-1061
73,e972869486f85c3424875a443eb04bda2eeb6bd3,f418eed3089d74caa11affaf947a40b774e9c8cb,2017-05-25 18:59:45 -0400,2017-05-29 13:05:04 -0300,OPENNLP-1078,https://issues.apache.org/jira/browse/OPENNLP-1078
74,15ac7bd178a0f06e7a1fa18a85d3dee631bc7fc9,a13691b5be40d31099d39f7c8f3ee9970ebc20fa,2017-06-01 07:44:02 +0200,2017-06-06 10:41:15 +0200,OPENNLP-1081,https://issues.apache.org/jira/browse/OPENNLP-1081
75,f418eed3089d74caa11affaf947a40b774e9c8cb,cc173c2e4d47d6ee49b4b6050a0fea779d691429,2017-05-29 13:05:04 -0300,2017-05-30 15:56:20 -0300,OPENNLP-1083,https://issues.apache.org/jira/browse/OPENNLP-1083
76,e515ff47411c21afb3d92ea1d13062e761e097c4,08e163ca5f07db9ad9460a686b7e5085b12d9128,2017-06-27 01:45:06 -0700,2017-06-28 09:06:58 +0200,OPENNLP-1092,https://issues.apache.org/jira/browse/OPENNLP-1092
77,9be73347bd09934dd0c99d32bce9c4e12fccf6ce,4362e02ed0404d12ca75ee3476d4a32f9f671811,2017-07-31 15:08:00 -0300,2017-08-02 11:25:43 -0300,OPENNLP-1121,https://issues.apache.org/jira/browse/OPENNLP-1121
78,5bd82306a8e44e2b9ff098f29ebf4c69c195b9ad,9959b3c5a777845aa19040a5a761814e483a6483,2017-09-14 13:11:45 +0200,2017-09-15 08:57:23 +0200,OPENNLP-1132,https://issues.apache.org/jira/browse/OPENNLP-1132
79,98d6d15235e046762f3b09294e896994f616627c,d61bc3e942616a7be5740b4ba805f420bdb84bfb,2017-10-04 01:20:17 +0900,2017-10-06 17:36:27 -0400,OPENNLP-1133,https://issues.apache.org/jira/browse/OPENNLP-1133
80,b50e3db7b1e701a4474d862d46375f4187f16b79,db642a3c3ad93606d27d6e277b529da3a50057e6,2017-11-21 08:39:18 +0100,2017-11-21 20:50:42 +0100,OPENNLP-1158,https://issues.apache.org/jira/browse/OPENNLP-1158
81,07524191a42c58356915077020fad06b9939906a,f319f7ab9361d2f18a5c8515450449dfcb51589d,2017-12-27 03:49:57 +0900,2018-01-05 15:52:02 -0500,OPENNLP-1179,https://issues.apache.org/jira/browse/OPENNLP-1179
82,98b8758e761caf659608f48fc5c9e9056f911050,e73fbc241cd510a0fd7caec6f7cac2e4537ba699,2018-05-18 10:38:47 +0200,2018-05-18 10:53:50 +0200,OPENNLP-1193,https://issues.apache.org/jira/browse/OPENNLP-1193
83,22ba38f8a902de29e9bc4d40ec5da14fe31cdc8e,98b8758e761caf659608f48fc5c9e9056f911050,2018-05-18 10:37:47 -0400,2018-05-18 10:38:47 +0200,OPENNLP-1197,https://issues.apache.org/jira/browse/OPENNLP-1197
